datetime,symbol,open,high,low,close,volume
2024-01-08 09:15:00,NSE:NIFTY,21751.55,21754.2,21706.7,21739.1,13283828.0
2024-01-08 09:20:00,NSE:NIFTY,21738.85,21763.95,21713.8,21759.75,9247379.0
2024-01-08 09:25:00,NSE:NIFTY,21761.25,21762.75,21725.35,21725.35,7585726.0
2024-01-08 09:30:00,NSE:NIFTY,21723.8,21730.7,21695.3,21698.1,5501985.0
2024-01-08 09:35:00,NSE:NIFTY,21699.6,21700.9,21674.4,21678.75,4592509.0
2024-01-08 09:40:00,NSE:NIFTY,21679.45,21679.45,21655.2,21670.35,3577400.0
2024-01-08 09:45:00,NSE:NIFTY,21669.4,21670.3,21644.75,21647.45,5252579.0
2024-01-08 09:50:00,NSE:NIFTY,21648.15,21684.15,21647.8,21679.65,5773325.0
2024-01-08 09:55:00,NSE:NIFTY,21678.9,21691.3,21674.95,21675.3,4147674.0
2024-01-08 10:00:00,NSE:NIFTY,21675.25,21695.2,21667.85,21686.7,3071075.0
2024-01-08 10:05:00,NSE:NIFTY,21686.1,21686.1,21674.95,21678.9,2606230.0
2024-01-08 10:10:00,NSE:NIFTY,21679.5,21697.85,21679.5,21692.9,2835414.0
2024-01-08 10:15:00,NSE:NIFTY,21692.85,21698.8,21678.2,21679.1,3794027.0
2024-01-08 10:20:00,NSE:NIFTY,21678.25,21695.4,21677.0,21688.6,3201009.0
2024-01-08 10:25:00,NSE:NIFTY,21688.0,21701.05,21685.75,21698.6,2699995.0
2024-01-08 10:30:00,NSE:NIFTY,21699.3,21724.5,21698.85,21724.5,3137957.0
2024-01-08 10:35:00,NSE:NIFTY,21723.5,21723.5,21702.55,21704.15,2463280.0
2024-01-08 10:40:00,NSE:NIFTY,21703.9,21707.0,21676.15,21678.6,2416934.0
2024-01-08 10:45:00,NSE:NIFTY,21678.45,21683.95,21673.05,21673.3,1440610.0
2024-01-08 10:50:00,NSE:NIFTY,21672.95,21674.55,21650.05,21650.05,1888374.0
2024-01-08 10:55:00,NSE:NIFTY,21647.8,21649.95,21633.45,21634.85,2574298.0
2024-01-08 11:00:00,NSE:NIFTY,21634.9,21653.7,21634.7,21653.25,1614315.0
2024-01-08 11:05:00,NSE:NIFTY,21653.1,21653.1,21600.35,21616.05,11385770.0
2024-01-08 11:10:00,NSE:NIFTY,21615.5,21621.35,21600.05,21620.0,2374993.0
2024-01-08 11:15:00,NSE:NIFTY,21620.3,21626.2,21605.2,21626.15,1842454.0
2024-01-08 11:20:00,NSE:NIFTY,21625.65,21629.9,21616.05,21629.9,1715598.0
2024-01-08 11:25:00,NSE:NIFTY,21629.15,21630.95,21619.9,21628.25,2206681.0
2024-01-08 11:30:00,NSE:NIFTY,21628.65,21631.55,21617.8,21628.6,1728023.0
2024-01-08 11:35:00,NSE:NIFTY,21630.55,21641.65,21629.65,21636.5,1513789.0
2024-01-08 11:40:00,NSE:NIFTY,21636.55,21643.15,21634.85,21639.35,1250490.0
2024-01-08 11:45:00,NSE:NIFTY,21638.7,21640.5,21618.6,21626.6,2446781.0
2024-01-08 11:50:00,NSE:NIFTY,21626.55,21629.75,21562.5,21570.2,4763586.0
2024-01-08 11:55:00,NSE:NIFTY,21568.35,21577.8,21552.75,21557.1,3183483.0
2024-01-08 12:00:00,NSE:NIFTY,21557.15,21574.85,21556.15,21568.85,1873616.0
2024-01-08 12:05:00,NSE:NIFTY,21567.15,21590.0,21563.1,21583.7,1968847.0
2024-01-08 12:10:00,NSE:NIFTY,21583.8,21592.6,21574.35,21586.15,1809480.0
2024-01-08 12:15:00,NSE:NIFTY,21585.8,21593.95,21577.6,21586.0,1390793.0
2024-01-08 12:20:00,NSE:NIFTY,21587.05,21589.1,21578.75,21586.55,1816247.0
2024-01-08 12:25:00,NSE:NIFTY,21586.05,21591.05,21579.95,21585.05,1414970.0
2024-01-08 12:30:00,NSE:NIFTY,21585.35,21611.25,21582.7,21608.05,2609204.0
2024-01-08 12:35:00,NSE:NIFTY,21608.95,21609.3,21597.85,21607.45,1372647.0
2024-01-08 12:40:00,NSE:NIFTY,21607.5,21607.5,21593.25,21601.4,1669913.0
2024-01-08 12:45:00,NSE:NIFTY,21600.75,21603.2,21588.4,21591.5,1673818.0
2024-01-08 12:50:00,NSE:NIFTY,21591.1,21591.4,21580.4,21585.7,1706000.0
2024-01-08 12:55:00,NSE:NIFTY,21585.1,21585.1,21566.05,21569.2,1843174.0
2024-01-08 13:00:00,NSE:NIFTY,21568.6,21586.0,21566.1,21577.2,1431704.0
2024-01-08 13:05:00,NSE:NIFTY,21577.75,21581.2,21571.9,21575.2,1123679.0
2024-01-08 13:10:00,NSE:NIFTY,21574.2,21579.1,21568.45,21575.8,1235570.0
2024-01-08 13:15:00,NSE:NIFTY,21575.55,21580.1,21572.9,21578.0,1375793.0
2024-01-08 13:20:00,NSE:NIFTY,21579.2,21592.9,21576.65,21578.45,2207912.0
2024-01-08 13:25:00,NSE:NIFTY,21579.05,21592.3,21578.8,21582.45,1541673.0
2024-01-08 13:30:00,NSE:NIFTY,21582.3,21596.65,21580.75,21586.2,1771620.0
2024-01-08 13:35:00,NSE:NIFTY,21586.85,21586.85,21574.05,21577.95,1793974.0
2024-01-08 13:40:00,NSE:NIFTY,21578.15,21581.8,21557.9,21562.2,2043268.0
2024-01-08 13:45:00,NSE:NIFTY,21562.15,21578.45,21552.3,21574.6,2194853.0
2024-01-08 13:50:00,NSE:NIFTY,21574.3,21576.45,21566.1,21572.65,1713788.0
